gender,age,race/ethnicity,parental level of education,ParentMaritalStatus,PracticeSport,lunch,school mark,school_type,test preparation course,Stress,daily studing time,prefer to study in,Financial Status,social_support,extracurricular_activities,teacher_student_relationship,anxiety_level,self_esteem,depression,noise_level,safety,basic_needs,week_absences,internet,daily_freetime,Sleep_Hours,Adaptivity Level,Additional work,Transportation to the school,Taking notes in classes,Listening in classes,teaching_method,school_setting,Explains concepts in an understandable way,Use of presentations,Degree of difficulty of assignments,Structuring of the course,score,decision
female,23,group C,'bachelor''s degree',single,sometimes,free/reduced,2,Non-Public,none,Moderate,4,Morning,Bad,No,Yes,No,Moderate,No,Moderate,High,No,Moderate,1,Yes,No,6,Low,Yes,No,regulary,Law,Standard,Urban,Law,High,Moderate,Law,54,FAIL
female,20,group D,'master''s degree',divorced,sometimes,standard,2,Non-Public,none,Moderate,4,Night,Bad,No,Yes,High,No,Moderate,High,High,No,Moderate,8,Yes,Moderate,4,Low,Yes,No,sometimes,High,Standard,Urban,Law,Moderate,Law,Law,78,PASS
female,20,group A,high school,married,regularly,standard,4,Non-Public,completed,Moderate,2,Morning,Fabulous,Moderate,No,No,No,Moderate,Moderate,Moderate,Yes,High,7,No,No,6,Moderate,Yes,Yes,sometimes,Law,Standard,Urban,Law,Law,Law,Moderate,60,PASS
male,22,group C,some college,single,sometimes,standard,1,Non-Public,none,Moderate,4,Anytime,Good,Moderate,Yes,Moderate,High,High,High,Moderate,Yes,High,3,No,High,6,Low,Yes,Yes,sometimes,High,Standard,Urban,Moderate,Moderate,Law,Moderate,61,PASS
female,21,group B,some college,divorced,sometimes,standard,3,Non-Public,completed,Moderate,2,Anytime,Fabulous,No,No,No,No,No,Moderate,Moderate,Yes,High,6,No,No,6,Moderate,No,Yes,sometimes,High,Standard,Urban,Moderate,High,Law,Moderate,96,PASS
male,23,group A,'bachelor''s degree',married,sometimes,standard,2,Non-Public,none,Moderate,4,Anytime,Bad,Moderate,Yes,No,No,High,Moderate,Moderate,Yes,Moderate,7,No,High,4,Low,Yes,Yes,never,High,Standard,Urban,Moderate,Moderate,Moderate,High,85,PASS
male,24,group C,high school,married,sometimes,free/reduced,3,Non-Public,completed,Moderate,3,Anytime,Fabulous,Moderate,Yes,Moderate,Moderate,Moderate,Moderate,Moderate,Yes,High,0,No,High,6,Low,Yes,Yes,sometimes,Law,Standard,Urban,High,Law,Moderate,High,41,FAIL
male,18,group C,'bachelor''s degree',divorced,sometimes,standard,1,Non-Public,none,No,4,Night,Bad,No,No,No,Moderate,Moderate,No,Moderate,Yes,High,0,Yes,High,7,Low,Yes,No,sometimes,High,Standard,Urban,Law,Law,Law,Moderate,56,FAIL
male,24,group D,'associate''s degree',single,sometimes,standard,2,Non-Public,none,No,2,Anytime,Bad,Moderate,No,No,Moderate,Moderate,Moderate,High,Yes,High,8,No,No,4,Low,Yes,Yes,sometimes,Law,Standard,Urban,High,Law,Law,Moderate,68,PASS
female,22,group B,'bachelor''s degree',married,never,standard,4,Non-Public,none,Moderate,3,Anytime,Fabulous,Moderate,No,High,No,Moderate,High,High,Yes,Moderate,1,No,Moderate,6,Moderate,No,Yes,regulary,High,Standard,Urban,Moderate,Law,Moderate,Law,66,PASS
female,19,group D,high school,married,sometimes,standard,1,Non-Public,completed,No,5,Anytime,Bad,Moderate,Yes,High,Moderate,No,High,Moderate,Yes,High,7,No,High,6,High,No,No,sometimes,Law,Standard,Urban,High,Moderate,High,High,69,PASS
male,19,group A,'bachelor''s degree',married,sometimes,standard,1,Non-Public,completed,Moderate,4,Morning,Bad,Moderate,Yes,No,Moderate,No,High,High,No,Moderate,7,Yes,High,6,Low,No,No,sometimes,Law,Standard,Urban,Law,Moderate,Moderate,Law,82,PASS
female,18,group E,'associate''s degree',married,never,standard,2,Non-Public,completed,No,3,Anytime,Fabulous,High,No,Moderate,No,No,Moderate,Moderate,Yes,High,6,Yes,Moderate,7,Low,No,No,regulary,Law,Standard,Urban,High,Law,High,Law,100,PASS
male,18,group B,'master''s degree',divorced,never,standard,2,Non-Public,completed,Moderate,5,Morning,Fabulous,No,No,High,No,No,Moderate,High,No,Moderate,7,Yes,High,6,Moderate,No,Yes,regulary,High,Standard,Urban,High,Moderate,Moderate,Moderate,61,PASS
male,18,group E,'associate''s degree',married,sometimes,standard,4,Non-Public,none,No,5,Anytime,Fabulous,No,No,Moderate,Moderate,No,No,High,Yes,High,1,No,Moderate,6,Moderate,No,No,never,Law,Standard,Urban,Moderate,Law,Law,High,92,PASS
male,21,group E,'bachelor''s degree',married,regularly,free/reduced,1,Non-Public,none,No,4,Morning,Fabulous,Moderate,No,Moderate,High,Moderate,No,Moderate,Yes,High,1,Yes,High,5,Moderate,No,Yes,never,Law,Standard,Urban,Moderate,Moderate,Law,High,49,FAIL
male,21,group B,high school,married,sometimes,standard,4,Non-Public,none,Moderate,5,Anytime,Bad,Moderate,Yes,No,Moderate,High,High,High,Yes,Moderate,4,No,High,6,Moderate,Yes,No,sometimes,Law,Standard,Urban,High,Law,Law,High,64,PASS
female,24,group C,'bachelor''s degree',married,sometimes,standard,1,Non-Public,completed,Moderate,4,Morning,Fabulous,Moderate,Yes,Moderate,No,Moderate,No,High,Yes,High,7,Yes,Moderate,6,Moderate,Yes,No,regulary,High,Standard,Urban,Moderate,Law,Moderate,Moderate,73,PASS
female,19,group A,some college,married,sometimes,standard,2,Non-Public,none,No,2,Night,Bad,Moderate,No,Moderate,No,Moderate,No,High,Yes,High,4,Yes,Moderate,4,Moderate,No,No,regulary,Law,Standard,Urban,High,Moderate,Moderate,Moderate,92,PASS
female,21,group A,high school,single,sometimes,free/reduced,4,Non-Public,completed,Moderate,3,Night,Bad,High,Yes,No,Moderate,No,Moderate,High,No,Moderate,1,No,No,4,Moderate,No,Yes,regulary,High,Standard,Urban,Law,High,Law,High,67,PASS
male,21,group B,'bachelor''s degree',single,sometimes,free/reduced,2,Non-Public,none,Moderate,2,Morning,Fabulous,High,Yes,Moderate,High,High,High,Moderate,Yes,High,8,Yes,High,6,Moderate,No,No,regulary,High,Standard,Urban,Moderate,Moderate,Law,Law,69,PASS
female,20,group C,some high school,divorced,sometimes,standard,3,Non-Public,none,Moderate,4,Anytime,Bad,Moderate,No,High,No,Moderate,Moderate,Moderate,Yes,High,3,No,Moderate,5,Low,No,No,regulary,Law,Standard,Urban,Moderate,Moderate,Law,Moderate,72,PASS
male,22,group C,some college,married,sometimes,standard,1,Non-Public,none,Moderate,2,Anytime,Good,No,Yes,High,High,Moderate,Moderate,High,No,Moderate,5,No,Moderate,7,Moderate,Yes,No,regulary,High,Standard,Urban,Moderate,Law,Moderate,Law,52,FAIL
female,18,group D,'bachelor''s degree',divorced,sometimes,standard,2,Non-Public,completed,No,5,Anytime,Bad,Moderate,No,Moderate,Moderate,No,No,Moderate,Yes,Moderate,0,No,High,4,Moderate,No,Yes,regulary,Law,Standard,Urban,Law,Law,Moderate,High,67,PASS
female,22,group A,some high school,single,sometimes,standard,2,Non-Public,completed,Moderate,4,Anytime,Fabulous,Moderate,Yes,Moderate,Moderate,Moderate,No,Moderate,Yes,High,0,No,No,7,Low,Yes,Yes,regulary,High,Standard,Urban,High,Law,Law,Moderate,76,PASS
male,24,group C,'associate''s degree',married,regularly,free/reduced,2,Non-Public,none,Moderate,5,Morning,Bad,High,No,No,Moderate,Moderate,No,High,Yes,High,3,No,High,5,Moderate,Yes,No,regulary,Law,Standard,Urban,Law,Moderate,Moderate,Law,34,FAIL
male,22,group C,some college,married,regularly,standard,4,Non-Public,none,Moderate,2,Anytime,Fabulous,No,No,No,No,Moderate,High,Moderate,Yes,High,1,Yes,Moderate,5,Moderate,Yes,Yes,regulary,Law,Standard,Urban,High,High,Moderate,Moderate,73,PASS
male,24,group E,some college,married,regularly,free/reduced,5,Non-Public,completed,No,4,Night,Fabulous,Moderate,Yes,No,No,No,Moderate,Moderate,Yes,High,2,Yes,Moderate,7,High,Yes,Yes,regulary,High,Standard,Urban,Moderate,Law,Moderate,Law,54,FAIL
male,19,group C,'associate''s degree',single,regularly,free/reduced,3,Non-Public,none,Moderate,4,Morning,Bad,High,No,High,High,No,No,High,Yes,Moderate,0,No,High,7,Low,No,No,regulary,Law,Standard,Urban,Moderate,Moderate,Law,High,58,FAIL
male,18,group B,'master''s degree',married,never,standard,2,Non-Public,completed,Moderate,2,Anytime,Bad,No,Yes,No,Moderate,No,Moderate,Moderate,Yes,High,6,Yes,Moderate,5,Low,No,Yes,never,Law,Standard,Urban,Moderate,Moderate,Law,Moderate,95,PASS
male,19,group C,'bachelor''s degree',divorced,regularly,free/reduced,2,Non-Public,none,Moderate,3,Morning,Fabulous,Moderate,No,No,Moderate,No,High,Moderate,Yes,High,6,No,No,4,Moderate,Yes,Yes,regulary,High,Standard,Urban,Moderate,Law,Moderate,Law,40,FAIL
female,24,group A,'master''s degree',married,regularly,standard,3,Non-Public,none,Moderate,3,Night,Fabulous,No,No,Moderate,Moderate,No,High,Moderate,Yes,High,6,No,No,7,Moderate,Yes,No,sometimes,High,Experimental,Suburban,High,Law,Moderate,Law,70,PASS
male,24,group E,high school,married,sometimes,standard,3,Non-Public,none,Moderate,4,Anytime,Fabulous,Moderate,Yes,Moderate,Moderate,Moderate,No,Moderate,Yes,High,7,Yes,High,5,Low,No,Yes,regulary,Law,Experimental,Suburban,High,Moderate,High,Moderate,86,PASS
male,24,group C,some college,single,sometimes,standard,3,Non-Public,none,Moderate,2,Anytime,Fabulous,No,Yes,Moderate,High,Moderate,No,High,No,Moderate,8,No,Moderate,7,Moderate,Yes,No,sometimes,High,Experimental,Suburban,High,Moderate,Moderate,High,63,PASS
male,20,group B,some high school,married,regularly,standard,3,Non-Public,none,Moderate,3,Anytime,Fabulous,Moderate,No,Moderate,High,Moderate,No,High,Yes,Moderate,8,Yes,No,6,Low,Yes,No,sometimes,Law,Experimental,Suburban,Moderate,Moderate,High,Moderate,61,PASS
female,24,group C,'associate''s degree',married,sometimes,standard,3,Non-Public,none,No,2,Morning,Fabulous,High,No,Moderate,High,High,Moderate,Moderate,Yes,High,7,Yes,No,6,Moderate,Yes,No,regulary,High,Experimental,Suburban,Law,Law,Moderate,High,66,PASS
female,20,group E,some high school,married,never,standard,3,Non-Public,none,Moderate,2,Anytime,Fabulous,No,Yes,High,High,Moderate,Moderate,High,Yes,Moderate,2,Yes,No,4,Moderate,No,Yes,never,High,Experimental,Suburban,Law,Moderate,Law,Law,67,PASS
female,23,group D,'bachelor''s degree',married,regularly,standard,2,Non-Public,none,No,5,Anytime,Fabulous,No,No,High,Moderate,Moderate,Moderate,Moderate,Yes,High,7,No,No,5,Moderate,No,Yes,sometimes,High,Experimental,Suburban,Moderate,High,Law,Moderate,78,PASS
male,19,group D,some college,divorced,regularly,free/reduced,2,Non-Public,none,High,3,Morning,Fabulous,Moderate,Yes,Moderate,Moderate,No,No,High,Yes,Moderate,0,No,High,6,Moderate,No,Yes,never,Law,Experimental,Suburban,Law,Law,Law,High,40,FAIL
female,21,group E,some college,single,sometimes,free/reduced,2,Non-Public,completed,Moderate,5,Night,Fabulous,No,Yes,High,Moderate,Moderate,No,Moderate,Yes,High,6,No,No,7,Low,Yes,No,regulary,Law,Experimental,Suburban,Moderate,Law,Moderate,High,80,PASS
female,20,group D,'bachelor''s degree',married,regularly,standard,4,Non-Public,completed,No,3,Morning,Good,Moderate,No,No,No,Moderate,No,Moderate,Yes,High,1,No,High,6,Low,No,Yes,sometimes,Law,Experimental,Suburban,High,High,Moderate,High,80,PASS
male,22,group A,some college,divorced,sometimes,free/reduced,4,Non-Public,none,No,4,Anytime,Bad,No,No,Moderate,No,Moderate,Moderate,Moderate,Yes,High,1,No,No,7,Moderate,No,No,sometimes,High,Experimental,Suburban,High,Moderate,Law,High,45,FAIL
male,20,group C,some college,married,sometimes,standard,3,Non-Public,none,No,5,Anytime,Fabulous,High,No,No,Moderate,No,High,Moderate,Yes,High,0,No,No,7,Moderate,No,Yes,never,High,Experimental,Suburban,Law,High,Moderate,Moderate,64,PASS
female,19,group C,high school,single,sometimes,free/reduced,4,Non-Public,none,Moderate,4,Anytime,Bad,No,No,High,No,Moderate,High,High,No,Moderate,2,Yes,High,5,Moderate,No,No,never,Law,Experimental,Suburban,High,Moderate,Law,High,60,PASS
female,24,group D,'master''s degree',married,regularly,free/reduced,4,Non-Public,completed,No,4,Anytime,Fabulous,Moderate,No,No,No,Moderate,High,High,Yes,Moderate,1,No,Moderate,4,Low,No,Yes,never,Law,Experimental,Suburban,High,High,Moderate,High,61,PASS
male,23,group D,high school,single,regularly,free/reduced,5,Non-Public,none,High,2,Morning,Bad,No,Yes,No,High,High,High,High,Yes,High,1,No,No,6,Moderate,Yes,Yes,regulary,High,Experimental,Suburban,Law,Law,Law,Moderate,44,FAIL
male,19,group D,'bachelor''s degree',married,sometimes,free/reduced,4,Non-Public,none,High,2,Morning,Bad,No,Yes,High,No,Moderate,High,Moderate,Yes,Moderate,2,No,Moderate,5,Low,No,No,regulary,High,Experimental,Suburban,Moderate,Moderate,High,Law,40,FAIL
female,23,group C,'bachelor''s degree',married,sometimes,free/reduced,2,Non-Public,completed,Moderate,3,Morning,Fabulous,Moderate,Yes,Moderate,No,Moderate,No,Moderate,Yes,High,3,Yes,High,5,Low,No,Yes,sometimes,High,Experimental,Suburban,Law,Moderate,High,Moderate,81,PASS
female,19,group E,'associate''s degree',married,sometimes,free/reduced,5,Non-Public,completed,Moderate,2,Anytime,Fabulous,High,No,Moderate,Moderate,High,High,Moderate,Yes,High,5,Yes,High,6,Low,No,No,never,Law,Experimental,Suburban,High,Law,Moderate,Law,75,PASS
male,19,group C,high school,married,never,free/reduced,5,Non-Public,none,No,4,Anytime,Bad,Moderate,No,Moderate,No,Moderate,No,Moderate,Yes,High,1,No,Moderate,6,Low,Yes,Yes,never,Law,Experimental,Suburban,High,Moderate,Moderate,High,64,PASS
female,20,group D,some high school,married,sometimes,standard,4,Non-Public,completed,Moderate,2,Morning,Fabulous,High,Yes,High,No,No,High,Moderate,Yes,High,0,Yes,High,5,Moderate,Yes,Yes,never,Law,Experimental,Suburban,High,Moderate,High,High,75,PASS
female,18,group B,'associate''s degree',married,regularly,standard,4,Non-Public,completed,Moderate,5,Morning,Fabulous,Moderate,Yes,High,Moderate,High,High,Moderate,Yes,High,7,No,High,4,Low,No,No,sometimes,High,Experimental,Suburban,Law,Moderate,Moderate,Moderate,67,PASS
male,18,group E,'bachelor''s degree',divorced,regularly,standard,5,Non-Public,none,No,4,Anytime,Bad,Moderate,Yes,Moderate,High,High,High,Moderate,Yes,High,2,Yes,No,5,Moderate,Yes,Yes,regulary,High,Experimental,Suburban,Moderate,Law,Moderate,Moderate,75,PASS
male,24,group E,some high school,single,sometimes,free/reduced,4,Non-Public,none,No,3,Anytime,Good,Moderate,Yes,High,High,Moderate,Moderate,Moderate,Yes,Moderate,5,No,No,6,Moderate,Yes,Yes,regulary,High,Experimental,Suburban,Law,High,High,Moderate,64,PASS
male,23,group C,some high school,divorced,sometimes,free/reduced,3,Non-Public,completed,No,2,Anytime,Fabulous,High,Yes,No,Moderate,Moderate,No,High,Yes,Moderate,8,Yes,Moderate,7,Low,Yes,Yes,sometimes,Law,Experimental,Suburban,High,High,High,Moderate,81,PASS
male,18,group E,'bachelor''s degree',single,regularly,free/reduced,5,Non-Public,completed,Moderate,3,Morning,Fabulous,No,No,Moderate,No,No,Moderate,Moderate,Yes,High,7,No,No,4,High,No,Yes,never,Law,Experimental,Suburban,Moderate,Law,High,Law,98,PASS
female,19,group D,'associate''s degree',divorced,never,standard,3,Non-Public,completed,Moderate,3,Morning,Fabulous,Moderate,No,Moderate,No,Moderate,Moderate,High,No,Moderate,6,No,No,7,Moderate,No,No,regulary,High,Experimental,Suburban,Law,Law,Moderate,High,88,PASS
female,23,group B,'master''s degree',married,sometimes,standard,3,Non-Public,none,No,4,Night,Bad,Moderate,No,No,Moderate,No,Moderate,Moderate,Yes,High,6,No,No,6,Low,No,Yes,never,Law,Experimental,Suburban,Moderate,Law,High,High,60,PASS
male,18,group C,some college,divorced,sometimes,standard,4,Non-Public,none,Moderate,3,Night,Fabulous,Moderate,No,Moderate,Moderate,Moderate,No,High,Yes,High,5,Yes,No,6,Low,Yes,Yes,regulary,High,Experimental,Suburban,Law,Moderate,High,High,62,PASS
female,23,group D,some high school,single,sometimes,standard,2,Non-Public,none,No,2,Night,Fabulous,No,Yes,Moderate,High,No,Moderate,Moderate,Yes,High,3,No,No,5,Moderate,No,No,sometimes,High,Experimental,Suburban,Law,Law,High,High,81,PASS
female,23,group C,'bachelor''s degree',single,regularly,standard,2,Non-Public,none,Moderate,2,Anytime,Bad,No,Yes,No,High,No,High,Moderate,Yes,High,1,Yes,High,6,Low,No,No,never,Law,Experimental,Suburban,Moderate,Law,Law,High,58,FAIL
male,23,group B,high school,divorced,sometimes,free/reduced,3,Non-Public,none,No,3,Anytime,Fabulous,No,Yes,No,High,Moderate,No,High,Yes,Moderate,6,Yes,No,5,Low,No,Yes,regulary,High,Experimental,Suburban,High,Law,Moderate,Law,54,FAIL
female,23,group C,'bachelor''s degree',divorced,never,standard,4,Non-Public,none,Moderate,3,Anytime,Bad,Moderate,No,Moderate,No,Moderate,No,Moderate,Yes,High,3,Yes,Moderate,4,Low,Yes,Yes,regulary,Law,Experimental,Suburban,Law,Law,High,High,83,PASS
female,21,group D,high school,married,regularly,free/reduced,3,Non-Public,none,No,5,Anytime,Fabulous,No,No,Moderate,No,Moderate,No,Moderate,Yes,High,4,Yes,High,5,Low,No,No,never,Law,Experimental,Suburban,Moderate,High,Moderate,Moderate,43,FAIL
female,23,group D,some college,married,sometimes,standard,4,Non-Public,none,Moderate,4,Morning,Fabulous,Moderate,Yes,Moderate,Moderate,Moderate,No,High,Yes,Moderate,4,Yes,Moderate,6,Moderate,No,No,sometimes,Law,Experimental,Suburban,High,Moderate,Law,Law,78,PASS
male,22,group D,some high school,married,sometimes,standard,2,Non-Public,completed,Moderate,5,Morning,Fabulous,Moderate,No,High,High,No,High,High,Yes,Moderate,2,No,No,6,Low,Yes,Yes,regulary,Law,Experimental,Suburban,Moderate,Moderate,Moderate,Law,87,PASS
male,20,group C,'associate''s degree',married,regularly,standard,4,Non-Public,completed,Moderate,3,Anytime,Fabulous,No,Yes,High,No,Moderate,Moderate,High,Yes,Moderate,4,Yes,No,5,Moderate,Yes,No,never,High,Experimental,Suburban,High,High,Law,Law,76,PASS
female,22,group C,some high school,married,never,free/reduced,4,Non-Public,none,Moderate,5,Night,Fabulous,High,No,Moderate,No,Moderate,High,Moderate,Yes,High,6,No,Moderate,4,Low,No,Yes,regulary,Law,Experimental,Suburban,Moderate,Moderate,Moderate,High,49,FAIL
female,19,group C,some college,divorced,sometimes,standard,1,Non-Public,none,No,4,Night,Awful,Moderate,No,No,No,Moderate,Moderate,Moderate,Yes,High,8,No,Moderate,5,Moderate,No,No,sometimes,High,Experimental,Suburban,High,Moderate,High,Law,94,PASS
female,23,group B,some high school,married,sometimes,standard,3,Non-Public,none,No,3,Anytime,Good,Moderate,No,No,High,Moderate,Moderate,High,No,Moderate,4,Yes,Moderate,4,Moderate,No,No,sometimes,Law,Experimental,Suburban,Law,Moderate,Moderate,High,84,PASS
male,23,group A,some college,single,sometimes,standard,3,Non-Public,none,Moderate,4,Night,Bad,No,Yes,No,High,Moderate,High,Moderate,Yes,High,0,No,High,6,Low,Yes,No,never,Law,Experimental,Suburban,Moderate,High,Law,Law,78,PASS
female,23,group C,'bachelor''s degree',divorced,regularly,free/reduced,3,Non-Public,none,Moderate,5,Anytime,Fabulous,Moderate,Yes,No,No,Moderate,High,Moderate,Yes,High,5,No,High,7,Moderate,No,No,regulary,High,Experimental,Suburban,Moderate,Law,Moderate,Moderate,72,PASS
male,21,group E,some college,single,sometimes,standard,3,Non-Public,completed,No,3,Morning,Bad,No,No,No,No,Moderate,No,High,Yes,Moderate,1,No,No,6,Moderate,Yes,Yes,sometimes,High,Experimental,Suburban,Moderate,Moderate,Law,Moderate,83,PASS
male,22,group B,'bachelor''s degree',divorced,regularly,free/reduced,3,Non-Public,completed,Moderate,2,Anytime,Good,Moderate,Yes,Moderate,No,Moderate,Moderate,Moderate,Yes,High,7,Yes,High,5,Low,Yes,No,regulary,High,Experimental,Suburban,Moderate,High,High,High,64,PASS
female,18,group D,some college,divorced,sometimes,standard,3,Non-Public,none,No,4,Anytime,Fabulous,Moderate,No,No,No,Moderate,No,High,Yes,Moderate,6,Yes,No,4,Moderate,Yes,Yes,regulary,High,Experimental,Suburban,High,Law,Moderate,Moderate,81,PASS
male,24,group D,high school,married,regularly,free/reduced,1,Non-Public,none,Moderate,3,Morning,Bad,No,No,No,No,No,Moderate,High,Yes,High,4,No,Moderate,7,Moderate,No,No,sometimes,High,Experimental,Suburban,Law,Law,Law,High,60,PASS
male,19,group C,some college,married,regularly,free/reduced,3,Non-Public,none,Moderate,4,Anytime,Fabulous,No,No,No,Moderate,No,No,High,Yes,High,2,Yes,No,6,High,No,Yes,regulary,High,Experimental,Suburban,Moderate,Law,Moderate,Moderate,38,FAIL
female,18,group D,some college,married,regularly,standard,4,Non-Public,none,No,4,Anytime,Fabulous,Moderate,Yes,Moderate,Moderate,Moderate,High,High,No,Moderate,8,Yes,Moderate,5,Moderate,No,No,regulary,Law,Experimental,Suburban,High,Law,High,Law,87,PASS
female,20,group D,some college,married,never,standard,3,Non-Public,completed,High,5,Night,Good,High,No,High,No,High,No,Moderate,Yes,High,1,Yes,High,5,Moderate,Yes,Yes,regulary,High,Experimental,Suburban,High,Moderate,Moderate,Moderate,94,PASS
male,24,group C,high school,single,regularly,standard,3,Non-Public,completed,Moderate,4,Morning,Fabulous,Moderate,Yes,Moderate,High,No,No,High,No,Moderate,0,Yes,Moderate,4,Low,No,No,sometimes,High,Experimental,Suburban,Moderate,Moderate,Moderate,Moderate,85,PASS
female,23,group D,'master''s degree',married,regularly,standard,4,Non-Public,completed,Moderate,5,Morning,Fabulous,No,Yes,Moderate,No,Moderate,Moderate,Moderate,Yes,High,8,No,Moderate,4,Moderate,Yes,Yes,sometimes,High,Experimental,Suburban,High,Moderate,Moderate,Moderate,95,PASS
male,18,group C,some high school,married,sometimes,standard,3,Non-Public,completed,No,5,Night,Fabulous,Moderate,Yes,No,No,Moderate,Moderate,High,No,Moderate,2,No,High,6,Moderate,No,Yes,sometimes,Law,Experimental,Suburban,High,Moderate,High,High,78,PASS
female,23,group E,some college,single,sometimes,standard,3,Non-Public,completed,Moderate,4,Anytime,Fabulous,No,No,Moderate,Moderate,High,No,High,Yes,Moderate,3,Yes,Moderate,7,Moderate,Yes,No,never,High,Experimental,Suburban,Moderate,Moderate,Moderate,Moderate,84,PASS
female,21,group C,'associate''s degree',married,regularly,standard,3,Non-Public,none,Moderate,4,Morning,Fabulous,Moderate,No,Moderate,No,Moderate,No,No,Yes,Moderate,0,No,Moderate,6,Low,Yes,Yes,regulary,Law,Experimental,Suburban,Law,High,Moderate,Moderate,70,PASS
female,24,group E,some college,married,regularly,standard,3,Non-Public,none,No,5,Night,Fabulous,High,Yes,High,High,No,High,No,No,High,2,No,High,4,Moderate,Yes,No,sometimes,High,Standard,Suburban,Moderate,Law,High,High,74,PASS
male,24,group E,'associate''s degree',married,regularly,free/reduced,4,Non-Public,none,Moderate,2,Morning,Fabulous,No,Yes,High,Moderate,No,No,High,No,Moderate,4,No,High,5,Moderate,No,No,never,Law,Standard,Suburban,Moderate,Moderate,High,Moderate,56,FAIL
female,23,group D,'master''s degree',married,sometimes,standard,4,Non-Public,none,Moderate,4,Anytime,Good,High,Yes,No,No,Moderate,Moderate,High,No,Moderate,4,Yes,High,4,Moderate,No,No,sometimes,Law,Standard,Suburban,Moderate,Law,Moderate,Moderate,97,PASS
female,19,group C,some college,married,sometimes,free/reduced,4,Non-Public,completed,Moderate,5,Night,Fabulous,Moderate,No,Moderate,High,No,High,High,No,Moderate,3,Yes,High,4,Low,Yes,Yes,never,High,Standard,Suburban,High,Law,Law,High,71,PASS
male,20,group B,'associate''s degree',single,sometimes,standard,4,Non-Public,none,Moderate,5,Anytime,Fabulous,Moderate,No,No,Moderate,High,Moderate,Moderate,Yes,High,1,Yes,No,6,Moderate,Yes,Yes,never,High,Standard,Suburban,Law,High,High,High,80,PASS
male,18,group C,'associate''s degree',married,sometimes,standard,2,Non-Public,none,Moderate,3,Anytime,Fabulous,Moderate,No,Moderate,Moderate,No,Moderate,High,Yes,Moderate,0,No,High,5,Low,No,Yes,never,High,Standard,Suburban,Law,Law,High,Moderate,73,PASS
